"","summary"
"1923","02/22/2016: Assailants abducted Muhammad 'Umar Ba'lawi in Mukalla, Hadramawt governorate, Yemen. The whereabouts of Ba'lawi, the Hajar district general director, are unknown. No group claimed responsibility; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1924","02/24/2016: Assailants detonated explosives at the Political Security Organization (PSO) building in Lahij city, Lahij governorate, Yemen. There were no reported casualties in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1925","02/27/2016: Assailants detonated explosives at a security building in al Lahij city, Lahij governorate, Yemen. There were no reported casualties. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1926","02/29/2016: Assailants abducted Colonel Nasir al-San'ani in Mukalla, Hadramawt, Yemen. The whereabouts of Al-San'ani, the Criminal Investigation Department deputy director, are unknown. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1927","02/29/2016: A suicide bomber detonated an explosives-laden vehicle at a Popular Resistance Committee checkpoint in Mas'abayn neighborhood, Shaykh Uthman district, Adan governorate, Yemen. In addition to the bomber, four militia members were killed and five members were wounded in the blast. No group claimed responsibility for the incident; however, sources suspected that Al-Qaida in the Arabian Peninsula (AQAP) was involved."
"1928","03/05/2016: Assailants opened fire on the vehicle of Colonel Salem al-Milqat in Mansura district, Adan, Yemen. Al-Milqat, a district police commander, and a bodyguard were killed in the attack. No group claimed responsibility for the incident; however, authorities attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1929","03/08/2016: Assailants abducted Haidara Daha in Musaymir, Abyan, Yemen. The whereabouts of Daha, a tribal leader and governor of Abyan, are unknown. No group claimed responsibility; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1930","03/12/2016: Assailants opened fire on a police checkpoint in Mansura, Adan, Yemen. At least 17 people, including 15 assailants and two police officers were killed in the attack. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the incident."
"1931","03/13/2016: Assailants opened fire on a tourists and residents at a hotel beach resort in Grand-Bassam, Sud-Comoe, Ivory Coast. At least 22 people were killed and 33 people were injured in the assault. The victims included assailants, civilians, and security forces. Al-Qaida in the Islamic Maghreb (AQIM) claimed responsibility for the incident."
"1932","03/13/2016: Assailants threw an explosive device at a Pakistan Rangers checkpost in Essa Nagri neighborhood, Karachi, Sindh, Pakistan. There were no reported casualties in the blast. This was one of two similar attacks in neighborhoods of Karachi on the same day. No group claimed responsibility; however, sources attributed the incidents to Al-Qaida in the Indian Subcontinent."
"1933","03/13/2016: Assailants threw an explosive device at a Pakistan Rangers checkpost in Gulshan-e-Iqbal neighborhood, Karachi, Sindh, Pakistan. There were no reported casualties in the blast. This was one of two similar attacks in neighborhoods of Karachi on the same day. No group claimed responsibility; however, sources attributed the incidents to Al-Qaida in the Indian Subcontinent."
"1934","03/16/2016: Assailants attacked police officers in a market in Dolbel, Tillaberi, Niger. Three police officers were killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Islamic Maghreb (AQIM)."
"1935","03/17/2016: Assailants executed three civilians in Hadramawt, Yemen. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1936","03/18/2016: Two assailants fired projectiles at the In Salah natural gas plant in Krechba, Ghardaia, Algeria. There were no reported casualties or damages in the attack. Al-Qaida in the Islamic Maghreb (AQIM) claimed responsibility for the incident and vowed to preserve the environment."
"1937","03/21/2016: An explosive device detonated at the judicial complex building in Lahij city, Lahij governorate, Yemen. There were no reported casualties in the blast. No group claimed responsibility; however, sources suspected that the attack was carried out by Al-Qaida in the Arabian Peninsula (AQAP)."
"1938","03/21/2016: Assailants opened fire on a hotel that was converted into a European Union Training Mission in Mali training base in Bamako, Mali. At least one assailant was killed and two others were captured in the ensuing clash. Al-Qaida in the Islamic Maghreb (AQIM) claimed responsibility for the attack."
"1939","04/06/2016: Assailants armed with machetes and firearms attacked Nazimuddin Samad in Dhaka city, Bangladesh. Samad, a blogger, was killed in the attack. Al-Qaida in the Indian Subcontinent claimed responsibility for the incident and stated that Nazimuddin Samad was targeted because the group believed he was an ""enemy of Allah."" Police officials, however, doubted the veracity of this claim and attributed the attack to the Ansarullah Bangla Team."
"1940","04/09/2016: Assailants ambushed a military convoy and abducted soldiers in Ahwar, Abyan, Yemen. At least 19 of the soldiers were killed and 17 were injured and released later the same day. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP), which the group denied."
"1941","04/24/2016: An explosives-laden vehicle detonated targeting a military convoy in Zinjibar, Abyan, Yemen. Seven soldiers were killed and 14 soldiers were injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1942","04/25/2016: Assailants armed with machetes raided Xulhaz Mannan's apartment in Dhaka, Bangladesh. Mannan, a gay and transgender rights activist and a magazine editor, and his companion were killed and two people were injured in the assault. Al-Qaida in the Indian Subcontinent claimed responsibility for the incident and stated that the victims were targeted for promoting LGBT rights. Authorities also arrested an Ansarullah Bangla Team member in connection with the attack."
"1943","04/26/2016: Assailants armed with projectiles and firearms attacked a Military of Yemen checkpoint in Lahij city, Lahij governorate, Yemen. There were no reported casualties in the assault. No group claimed responsibility; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1944","04/26/2016: Assailants attacked Military of Yemen posts in Sar, Hadramawt, Yemen. This was one of two incidents in Hadramawt on the same day. At least five soldiers were injured and there were an unknown number of assailant casualties across both attacks. No group claimed responsibility; however, sources attributed the incidents to Al-Qaida in the Arabian Peninsula (AQAP)."
"1945","04/26/2016: Assailants attacked Military of Yemen posts in Al-Uqab, Hadramawt, Yemen. This was one of two incidents in Hadramawt on the same day. At least five soldiers were injured and there were an unknown number of assailant casualties across both attacks. No group claimed responsibility; however, sources attributed the incidents to Al-Qaida in the Arabian Peninsula (AQAP)."
"1946","04/28/2016: A suicide bomber detonated an explosives-laden vehicle near the residence of General Shallal Shayae in Aden, Adan, Yemen. Shayae, the Yemeni Police Chief in Aden, was not harmed; however, the bomber was killed and at least two people were injured in the blast. No group claimed responsibility; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1947","05/01/2016: A suicide bomber detonated an explosives-laden vehicle targeting the convoy of Aidroos al-Zubaidi and General Shallal Shayae in Shaykh Uthman, Adan, Yemen. Neither Zubaidi, the governor of Aden, nor Shayae, the city's police chief, was harmed in the attack. However, the assailant and at least 3 guards were killed and eight people were injured in the blast. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the incident."
"1948","05/11/2016: A suicide bomber detonated targeting the convoy of General Abdul-Rahman Halili, a Yemeni military commander, in Qatan, Hadramawt, Yemen. In addition to the assailant, at least eight people were killed and 15 people, including Halili, were injured in the blast. The victims included security guards and civilians. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the attack."
"1949","05/29/2016: Assailants opened fire on Abd al-Khaliq Salih Ali al-Mashali in Al-Hawtah, Shabwah, Yemen. Al-Mashali, the security campaign's deputy commander, was killed in the assault. No group claimed responsibility for the incident; however, sources suspected that Al-Qaida in the Arabian Peninsula (AQAP) carried out the attack."
"1950","05/31/2016: Assailants fired rockets targeting a United Nations Multidimensional Integrated Stabilization Mission in Mali (MINUSMA) camp in Gao region, Mali. At least one Chinese peacekeeper was killed and 12 United Nations personnel were injured in the attack. This was one of two related attacks targeting United Nations personnel in Gao on this date. Al-Qaida in the Islamic Maghreb (AQIM) claimed responsibility for the incidents."
"1951","05/31/2016: Assailants opened fire on United Nations Mine Action Centre (UNMAS) employees in Gao, Mali. A French demining expert was killed and two Malian security guards were injured in the assault. This was one of two related attacks targeting United Nations personnel in Gao on this date. Al-Qaida in the Islamic Maghreb (AQIM) claimed responsibility for the incidents."
"1952","06/02/2016: Security forces identified and intercepted an assailant equipped with an explosives-laden vehicle attempting to target a local government headquarters in Mukalla, Hadramawt, Yemen. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1953","06/20/2016: Assailants abducted Ovais Sajjad Shah outside a shopping mall in Clifton neighborhood, Karachi, Sindh, Pakistan. Shah, the son of a High Court of Sindh Chief Justice, was injured and released on July 19, 2016. No group claimed responsibility; however, sources attributed the attack to an unknown splinter group of the Tehrik-i-Taliban Pakistan (TTP). Additionally, sources suspected that the incident may have been carried out by Al-Qaida in the Indian Subcontinent."
"1954","06/21/2016: Assailants raided a prison in Jaar, Abyan, Yemen. There were no reported casualties in the assault, though an unknown number of prisoners were released. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1955","06/22/2016: Assailants attacked a military checkpoint in Lahij, Yemen. One soldier was killed and one soldier was injured in the assault. No group claimed responsibility for the incident; however, sources suspected that Al-Qaida in the Arabian Peninsula (AQAP) carried out the attack."
"1956","06/30/2016: Assailants opened fire on the home of Special Security Forces Major General Thabit Jawas in Habilayn, Lahij, Yemen. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1957","07/01/2016: Assailants opened fire on a Mali Gendarmerie camp in Menaka, Gao, Mali. At least two soldiers were killed while another was wounded in the assault. Al-Qaida in the Islamic Maghreb (AQIM) claimed responsibility for the attack."
"1958","07/06/2016: Two suicide bombers in explosives-laden vehicles detonated at a Central Security Organization (CSO) base in Khur Maksar district, Adan, Yemen. Additional assailants wearing explosives-laden vests then entered the compound and opened fire on the soldiers. At least 16 people, including 10 soldiers and six assailants, were killed and 10 other soldiers were injured in the blasts and ensuing clash. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility and stated that the attack was carried out in retaliation for coalition operations in Lahij."
"1959","07/09/2016: Assailants attacked a military checkpoint in Dinangorou, Mopti, Mali. At least two soldiers were killed in the attack. Al-Qaida in the Islamic Maghreb (AQIM) claimed responsibility for the attack. Additionally, sources suspected the involvement of Ansar al-Dine (Mali)."
"1960","07/15/2016: A suicide bomber detonated an explosives-laden vehicle targeting a convoy carrying Aidarus Al Zubaidi in Inmaa, Aden, Adan, Yemen. Al Zubaidi, the Aden governor, was unharmed; however, the assailant was killed and three people were injured in the blast. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the incident."
"1961","07/18/2016: A suicide bomber detonated an explosives-laden vehicle at a military checkpoint in Al-Burum area, Mukalla, Hadramawt, Yemen. This was one of two related attacks on checkpoints in Mukalla on this day. In addition to the two assailants, at least five soldiers were killed and 15 people, including soldiers and civilians, were injured across both attacks. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the incidents."
"1962","07/18/2016: A suicide bomber detonated an explosives-laden vehicle at a military checkpoint in Al-Ghaber area, Mukalla, Hadramawt, Yemen. This was one of two related attacks on checkpoints in Mukalla on this day. In addition to the two assailants, at least five soldiers were killed and 15 people, including soldiers and civilians, were injured across both attacks. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the incidents."
"1963","07/21/2016: Assailants shot and killed Colonel Saeed Salim al Mul in Zinjibar, Abyan, Yemen. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1964","07/24/2016: Assailants abducted and later killed three civilians from the Bakazim tribe near Azzan, Shabwah, Yemen. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1965","07/25/2016: Assailants attacked the 5th Armed Brigade headquarters in Sabir, Lahij, Yemen. There were no reported casualties as security forces repelled the assault. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1966","07/25/2016: An explosive device detonated targeting Munir al-Yafi'i, Special Task Forces commander, in Shaykh Uthman, Adan, Yemen. There were no reported casualties in the blast. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the incident."
"1967","07/29/2016: Assailants detonated explosives at the Sheikh Abdulhadi Al-Sudi mausoleum in Ashrafiya, Taizz, Yemen. At least 20 civilians were injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1968","07/31/2016: Assailants opened fire on Hamata Ag Hantafaye in Hammabangou, Timbuktu, Mali. Hantafaye, a Malian Army captain, was killed in the assault. Al-Qaida in the Islamic Maghreb (AQIM) claimed responsibility for the attack."
"1969","08/02/2016: Several explosives-laden boats detonated at Al Mukalla Port in Mukalla, Hadramawt, Yemen. Following the blasts, assailants armed with projectiles and firearms attacked the port. There were no reported casualties in the incident. No group claimed responsibility; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1970","08/02/2016: Two suicide bombers detonated explosives-laden vehicles at a Yemeni Army base in Habilayn, Lahij, Yemen. In addition to the bombers, at least five soldiers were killed and 10 others were injured in the blasts. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility and stated that the attack was carried out in retaliation for Saudi military operations."
"1971","08/04/2016: Assailants threw a grenade at a Yemeni Police station in Aden, Adan, Yemen. There were no reported casualties in the blast. This was one of two grenade attacks targeting police stations in Aden on the same day. No group claimed responsibility; however, sources suspected that the incidents were carried out by Al-Qaida in the Arabian Peninsula (AQAP)."
"1972","08/04/2016: Assailants threw a grenade at a Yemeni Police station in Aden, Adan, Yemen. There were no reported casualties in the blast. This was one of two grenade attacks targeting police stations in Aden on the same day. No group claimed responsibility; however, sources suspected that the incidents were carried out by Al-Qaida in the Arabian Peninsula (AQAP)."
"1973","08/07/2016: Assailants shot and killed Colonel Qasim Shamba' in Al -Ayn, Abyan, Yemen. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1974","08/07/2016: A suicide bomber detonated an explosives-laden vehicle and other assailants attacked Al Hazm Brigade Forces in Murfid, Lahij, Yemen. In addition to the bomber, 10 soldiers were killed and 18 others were injured in the attack. Additionally, the assailants sustained an unknown number of injuries in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1975","08/15/2016: A suicide bomber detonated an explosives-laden vehicle at a military checkpoint in Shoqra, Abyan, Yemen. In addition to the assailant, at least three soldiers were killed and four soldiers were injured in the blast. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the incident."
"1976","08/18/2016: A suicide bomber detonated an explosives-laden vehicle targeting military vehicles in Al-Ayn, Abyan, Yemen. In addition to the assailant, at least three soldiers were killed and six soldiers were injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1977","08/26/2016: Assailants attacked Yemeni Army posts and checkpoints in Mahfad district, Abyan, Yemen. There were an unknown number of casualties in the incident. No group claimed responsibility; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1978","09/11/2016: A suicide bomber detonated an explosives-laden vehicle at a police station in Wadea, Abyan, Yemen. In addition to the assailant, at least six police officers were killed and 15 officers were injured in the blast. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the incident."
"1979","09/11/2016: Assailants attacked military forces in Zinjibar, Abyan, Yemen. No casualties were reported in the ensuing clash. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the incident."
"1980","09/14/2016: Assailants attacked military personnel in Hareib, Marib, Yemen. One soldier was killed and two soldiers were injured in the assault. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1981","09/14/2016: Assailants opened fire on a military checkpoint in Al-Ayn, Abyan, Yemen. Two soldiers were killed in the attack. No group claimed responsibility for the incident; however, sources suspected the involvement Al-Qaida in the Arabian Peninsula (AQAP)."
"1982","09/18/2016: Assailants shot and killed two soldiers at a restaurant in Shaykh Uthman, Adan, Yemen. No group claimed responsibility for the incident; however, sources suspected that Al-Qaida in the Arabian Peninsula (AQAP) or the Adan-Abyan Province of the Islamic State may have carried out the attack."
"1983","09/19/2016: Assailants detonated explosives at a courthouse in Abyan, Yemen. There were no reported casualties in the attack. This was one of two coordinated attacks in Abyan on the same day. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1984","09/19/2016: Assailants detonated explosives at a judge's house in Abyan, Yemen. There were no reported casualties in the attack. This was one of two coordinated attacks in Abyan on the same day. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1985","09/19/2016: Assailants abducted three foreign workers, including two Italians and one Canadian in Ghat, Libya. The hostages were released on November 5, 2016. No group claimed responsibility for the incident; however, sources suspected the involvement of Al-Qaida in the Islamic Maghreb (AQIM). In addition, sources suspected the involvement of the Islamic State in the Greater Sahara (ISGS)."
"1986","09/21/2016: Assailants attacked a security checkpoint in Lahij city, Lahij, Yemen. One assailant was killed and one was injured in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1987","09/21/2016: An explosive device detonated targeting a gas pipeline in Jardan, Shabwah, Yemen. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1988","09/25/2016: Assailants opened fire on a soldier and his cousin in Timbuktu, Mali. Both were killed and a child was injured in the attack. No group claimed responsibility for the incident; however sources suspected that Al-Qaida in the Islamic Maghreb (AQIM) was responsible for the attack."
"1989","09/27/2016: Assailants threw a hand grenade and opened fire on the central prison in Shaykh Uthman, Adan, Yemen. In addition to an unknown number of assailant casualties, at least one prison guard was killed in the ensuing clash. No group claimed responsibility for the incident; however, sources suspected the involvement of Al-Qaida in the Arabian Peninsula (AQAP) in the attack."
"1990","10/09/2016: An explosives-laden vehicle detonated targeting a government meeting in Mukalla, Hadramawt, Yemen. There were no reported casualties in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1991","10/20/2016: Assailants attacked a military checkpoint near Zinjibar, Abyan, Yemen. At least one assailant and four soldiers were killed while one assailant and two soldiers were injured in the ensuing clash. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the incident."
"1992","10/20/2016: Assailants attacked a military post in Lawdar district, Abyan, Yemen. There were an unknown number of assailant casualties in the ensuing clash. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the incident."
"1993","10/26/2016: Assailants abducted Abdullah Nasser, a political security officer, in Al-Wadea, Abyan, Yemen. Nasser was killed and his body was discovered the following day. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1994","10/27/2016: An explosive device detonated near a Hizam Brigade patrol vehicle in Lawdar district, Abyan, Yemen. At least two soldiers were injured in the blast. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the attack."
"1995","11/03/2016: A suicide bomber detonated an explosives-laden vehicle at military camp in Mukalla, Hadramawt, Yemen. In addition to the assailant, at least three soldiers were killed and an unknown number of people, including two civilians, were injured in the blast. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the incident."
"1996","11/08/2016: Assailants raided the residence of Muhammad Mahdi Bajuba, a civilian, in Ar Raydah, Shabwah, Yemen. Bajuba and one assailant were killed and an unknown number of assailants were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1997","11/08/2016: A grenade detonated at a military checkpoint in Al-Ayn, Abyan, Yemen. A soldier was killed in the blast. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the incident."
"1998","11/15/2016: Assailants attacked military posts near Salamiyah, Abyan, Yemen. One soldier was injured in the assault. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"1999","11/17/2016: Assailants opened fire on a Hizam Brigade checkpoint in Mahfad district, Abyan, Yemen. Two soldiers were injured in the attack. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the incident."
"2000","11/21/2016: An explosive device detonated near Al-Khodor Hamsan in Lawdar, Abyan, Yemen. Hamsan, a Hizam Brigade commander, was not harmed as there were no reported casualties in the blast. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the attack."
"2001","11/22/2016: Assailants attacked Al Adwas military checkpoint in Ghayl Ba Wazir district, Hadramawt, Yemen. At least one assailant was killed in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"2002","11/27/2016: An explosive device detonated targeting Al Khader Al Moulem in Al-Ayn, Abyan, Yemen. Al Moulem, a Popular Resistance Committee leader, was killed in the blast. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the attack."
"2003","11/29/2016: Four suicide bombers detonated an explosives-laden vehicle targeting the United Nations Multidimensional Integrated Stabilization Mission in Mali (MINUSMA) office near the airport in Gao, Mali. The four assailants were killed in the blast. Al-Mourabitoun, a subgroup of Al-Qaida in the Islamic Maghreb (AQIM), claimed responsibility for the incident."
"2004","11/29/2016: Assailants fired rockets at the Timbuktu airport near Timbuktu, Mali. No casualties were reported in the attack. Al-Qaida in the Islamic Maghreb (AQIM) claimed responsibility for the incident."
"2005","12/05/2016: An explosive device detonated targeting a gas pipeline in Uqlah, Shabwah, Yemen. There were no reported casualties in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"2006","12/00/2016: Sometime between December 1, 2016 and December 31, 2016, assailants abducted two civilians accused of theft in Taoudeni, Timbuktu, Mali. The hostages each had a hand amputated and were released in early January 2017. No group claimed responsibility; however, sources attributed the attack to Al-Qaida in the Islamic Maghreb (AQIM)."
"2007","12/18/2016: Assailants attacked civilians in Farach, Timbuktu, Mali. It is unknown whether there were any casualties in the incident. Al-Qaida in the Islamic Maghreb (AQIM) claimed responsibility for the attack. Sources noted that the targets were accused of being spies."
"2008","12/24/2016: Three assailants abducted Sophie Petronin from her home in Gao, Mali. The whereabouts of Petronin, a French-Swiss aid worker for Aide Gao, are unknown. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Islamic Maghreb (AQIM). In addition, on July 1, 2017, Jamaat Nusrat al-Islam wal Muslimin (JNIM) released a proof-of-life video showing the hostage."
"2009","12/25/2016: Assailants attacked Faraj Neji, a district director, in Shibam, Hadramawt, Yemen. Neji was not harmed; however, two guards were killed and another person was injured in the assault. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"2010","12/25/2016: Assailants attacked tribesmen in Shabwah province, Yemen. Three people were killed in the assault. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"2011","01/03/2017: Assailants opened fire on military vehicles in Lawdar district, Abyan, Yemen. At least two soldiers were killed and eight soldiers were injured in the assault. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"2012","01/04/2017: Assailants opened fire on Iqbal Mehmood in Gulistan-e-Johar neighborhood, Karachi, Pakistan. Mehmood, a Pakistani Police sub-inspector, was killed and at least two other people were injured in the assault. No group claimed responsibility; however, officials attributed the attack to Al-Qaida in the Indian Subcontinent and Lashkar-e-Jhangvi."
"2013","01/06/2017: Assailants threw a grenade at Taimuria Police Station near Five Star Chowrangi in North Nazimabad neighborhood, Karachi, Pakistan. At least one police officer was injured in the blast. This was one of two attacks carried out by the same assailants on this date. No group claimed responsibility; however, officials attributed the incidents to Al-Qaida in the Indian Subcontinent and Lashkar-e-Jhangvi."
"2014","01/06/2017: Assailants opened fire on Pakistan Traffic Police officers near Five Star Chowrangi in North Nazimabad neighborhood, Karachi, Sindh, Pakistan. At least one civilian was killed and an officer was injured in the assault. This was one of two attacks carried out by the same assailants on this date. No group claimed responsibility; however, officials attributed the incidents to Al-Qaida in the Indian Subcontinent and Lashkar-e-Jhangvi."
"2015","01/11/2017: An explosives-laden vehicle detonated targeting a Hizam Brigade convoy in Lawdar, Abyan, Yemen. One Hizam Brigade member was killed and five members, including commander Amin al Sayyid, were injured in the blast. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the incident. Sources also suspected that the Adan-Abyan Province of the Islamic State may have carried out the attack."
"2016","01/15/2017: Assailants opened fire on a Hizam Brigade checkpoint in Lawdar district, Abyan, Yemen. In addition to an unknown number of assailant casualties, at least four soldiers were killed and three soldiers were injured in the attack and ensuing clash. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the incident."
"2017","01/18/2017: Five suicide bombers detonated an explosives-laden vehicle at a camp housing military and pro-government militia personnel in Gao, Mali. At least 82 people, including the five bombers, were killed and 115 people were injured in the blast. Al-Qaida in the Islamic Maghreb (AQIM) claimed responsibility for the incident and stated that the attack was carried out in retaliation for Mali's collaboration with France."
"2018","01/28/2017: Assailants opened fire on Rushedi Hussein Al-Alwani's vehicle in Lawdar, Abyan, Yemen. Al-Alwani, a Hizam Brigade commander, and three bodyguards were killed in the attack. No group claimed responsibility for the incident; however, sources suspected that Al-Qaida in the Arabian Peninsula (AQAP) carried out the attack."
"2019","01/30/2017: Assailants shot and killed Ali Al-Bekri, a police officer, in Qatn, Hadramawt, Yemen. No group claimed responsibility for the incident; however, sources suspected that Al-Qaida in the Arabian Peninsula (AQAP) carried out the attack."
"2020","02/02/2017: Assailants detonated an explosive device and opened fire on a Hizam Brigade vehicle in Lawdar, Abyan, Yemen. At least six Hizam Brigade members were killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"2021","02/03/2017: An explosive device detonated targeting a Hizam Brigade checkpoint in Lawdar, Abyan, Yemen. No casualties were reported in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"2022","02/02/2017: An explosive device detonated targeting a security building in Shoqra, Abyan, Yemen. No casualties were reported in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"2023","02/04/2017: Assailants opened fire on a police station in Lawdar, Abyan, Yemen. At least 23 assailants were killed while eight assailants and two police officers were injured in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"2024","02/05/2017: Assailants abducted Colonel Abdullah Khader Hussein in Khudayrah, Abyan, Yemen. Hussein, a Presidential Defense Forces officer, was shot and killed a few hours after the kidnapping. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"2025","02/16/2017: Assailants attacked and killed four people, including the Passport Authority Chairman office director, in Ataq, Shabwah, Yemen. No group claimed responsibility for the incident; however, sources attributed the incident to Al-Qaida in the Arabian Peninsula (AQAP)."
"2026","02/23/2017: An explosives-rigged police station detonated in Ar Rawdah, Shabwah, Yemen. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources suspected that Al-Qaida in the Arabian Peninsula (AQAP) was involved in the attack."
"2027","02/24/2017: A suicide bomber detonated an explosives-laden vehicle and assailants opened fire at a Hizam Brigade camp in Zinjibar, Abyan, Yemen. In addition to the bomber, five Hizam Brigade members were killed and 11 Hizam Brigade members were injured in the attack. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the incident."
"2028","03/05/2017: Assailants attacked Al Arqob military checkpoint in Shoqra, Abyan, Yemen. At least six soldiers were killed an unknown number of assailants and soldiers were injured in the assault. No group claimed responsibility for the incident; however, sources attributed the attack to Ansar Al-Sharia, a subgroup of Al-Qaida in the Arabian Peninsula (AQAP)."
